Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,42.34550456,42.32999495,42.36629841,42.34811237,42.33088709,42.3569652,42.37048464,42.40369991,42.45434633,42.52702189,42.63709895,42.68081408,42.687814,42.70112756,42.73434283,42.75644059,42.76947964,42.85025314,42.82554757,42.82060645,42.90158583,42.91229158,42.94509509,42.94859505,43.23771888,43.4994607,43.66430177,43.91259278,44.12643324,44.07743317,44.17552918,44.36462406,43.40504705,43.60230849,43.78673676,43.94096933,44.09671237,44.23824902,44.45383376,44.61369371,44.75431282,44.89213197,45.21870169,44.97339481,45.15007238,45.3477528,45.51169827,45.6764834,45.94348581,46.15694329,46.36151491,43.38879449,43.52427118,43.67417547,43.77249579,43.90145169,44.04508768,44.16834493,44.19484571,44.24872113,,
Africa Eastern and Southern,AFE,Agricultural land (sq. km),AG.LND.AGRI.K2,,6170422.2,6168162.2,6173452.2,6170802.2,6168292.2,6172092.2,6174062.2,6178902.2,6186282.2,6196872.2,6212912.2,6219282.2,6220302.2,6222242.2,6227082.2,6230302.2,6232202.2,6243972.2,6240372.2,6239652.2,6251452.2,6253012.2,6257792.2,6258302.2,6300432.2,6338572.2,6362592.2,6398772.2,6429932.2,6422792.1,6437086.27,6464640.44,6324814.61,6353558.78,6380432.95,6402907.12,6425601.39,6446225.56,6477639.73,6500933.9,6521424.37,6541506.84,6589093.31,6620169.58,6646197.25,6675292.72,6699446.99,6723686.56,6763004.83,6794743.8,6824989.9,6441140.365,6461235.65,6483468.675,6498087.9,6517235.025,6538552.75,6556857.12,6560796.62,6568777.12,,
Africa Eastern and Southern,AFE,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,169776,176648,180067,185072,191771,198700,206634,209857,218173,226485,225275,222500,221802,224191,226115,232623,233046,231107,231204,230369,232659,230916,229950,230212,229514,229172,219713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147326085,0.739986365,1.751157325,4.639525002,9.597389539,20.37637047,29.90493006,41.99381255,55.27870431,63.23849663,53.4029351,67.96458394,78.83865068,83.40990151,85.34475356,85.98967535,85.88372232,88.09680567,89.51999019,91.46874169,91.09856555,89.94309444,
Africa Eastern and Southern,AFE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,380,410,360,380,430,399,370,360,317,293,240,220,172,192,203,219,247,261,334,402,460,533,677,939,1605,2188,3204,4012,4776,7349,17807,36758,36072,32830,41472,56925,65406,59362,62780,58877,74253,109941,150169,140493,114076,121123.15,152718.7,182641.2,210115.85,227551.95,282240.24,298146.56,340581.32,319288.66,362192.01,415806.08,358921.36,365458.89,347459.92,358057,388256.28,410243.65,
Africa Eastern and Southern,AFE,Arable land (% of land area),AG.LND.ARBL.ZS,,4.702843083,4.754587533,4.866723384,4.918673714,4.972682842,5.002260903,5.025388065,5.066975779,5.128602459,5.211160249,5.263453711,5.314786402,5.326178416,5.346560514,5.391648185,5.413334188,5.416216505,5.494862579,5.471941297,5.463774733,5.466176664,5.473313829,5.499529187,5.504058542,5.648037132,5.678850472,5.682968067,5.709457932,5.762300407,5.744457493,5.758731825,5.78741774,5.922063113,5.964886106,6.055473207,6.102619676,6.121766495,6.104335341,6.163903223,6.16273657,6.184587277,6.259431438,6.496879446,6.585035514,6.73485122,6.805821777,6.916873653,7.045072764,7.291427074,7.434979913,7.625402114,7.852112262,7.902579271,7.969327476,8.001533632,8.062898451,8.144832941,8.205574806,8.210892995,8.240550733,,
Africa Eastern and Southern,AFE,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46866883,2.472667988,2.48617349,2.508720963,2.5881233,2.613634083,2.621865693,2.588428801,2.563341295,2.487152852,2.423608582,2.377310867,2.341517906,2.273596238,2.24872748,2.274835943,2.198021438,2.068836624,2.076511766,2.081726982,2.127444286,2.199399055,2.258589751,2.308348719,2.309669474,2.376105333,2.409850086,2.436642683,2.470904958,2.445791844,2.466151567,
Africa Eastern and Southern,AFE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.17753947,65.5185851,65.49826162,65.48537806,65.35101786,64.98926368,65.01975965,64.95550397,64.79526974,64.69164049,64.63014689,64.4040741,64.24959417,64.02288749,63.91956376,63.17930515,62.53225349,62.13691335,61.81589831,61.21426125,60.25507411,59.55012771,59.43111279,58.59870613,57.97176119,57.53938996,57.03465301,56.49750853,55.96057918,56.5308919,56.21378347,
Africa Eastern and Southern,AFE,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.55068488,70.71546667,70.53614553,70.42597921,70.22774283,69.83951921,69.69349423,69.568553,69.31130681,69.19762223,69.16763454,68.98813144,68.88845405,68.79450832,68.74641081,67.82263759,66.97292943,66.38270713,65.75590171,65.19129738,64.14118383,63.20007893,62.98619955,62.22873226,61.55741862,61.09319528,60.45733943,59.8716123,59.12774308,59.29515906,59.08302305,
